,sentence,source_np0,label
0,That picture of her pleases Jenny .,That picture of her,1
1,"The harder it rains , how much faster a flow do you see in the river ?",the river,1
2,Mary is often running the marathon .,the marathon,1
3,Teresa bottle fed the baby soy milk .,Teresa bottle,1
4,To delay the march and to go ahead with it have been argued by different people at different times .,the march,1
5,Copper rods bend easily .,Copper rods,1
6,Only Glasgow would he travel by train .,Only Glasgow,0
7,The monkey seems despondent .,The monkey,1
8,There is a bench to sit on .,a bench to sit on,1
9,Tuesday was slept on by George Washington .,George Washington,0
10,John put any carrot from his garden in the salad .,any carrot,1
11,The spoon ate the ice cream .,The spoon,0
12,Amanda carried the package to New York .,the package,1
13,Avoid double negatives .,double negatives,1
14,We linguists love to argue,We linguists,1
15,Benjamin said he would give the cloak to Lee and give the cloak he did to Lee .,the cloak,0
16,Mary would solve the problem .,the problem,1
17,I leave for Paris next week .,next week,1
18,Doug removed the scratches out of the drawer .,the scratches,0
19,"On this table , they put a lamp , and on that table , a radio .",this table,1
20,Mary has more friends than two .,more friends than two,1
21,He kept company some girls who had been injured in the wreck .,company some girls who had been injured in the wreck,0
22,John hit the ball with a bat .,the ball,1
23,Mary was solving the problem .,the problem,1
24,I asked which city which king invaded .,which city,1
25,The book that I said that I ' d never read .,The book,1
26,Is Bill eating his tuna ?,his tuna,1
27,"In English , the main verb agrees with the head element of the subject .",the main verb,1
28,John taught English Syntax to new students .,English Syntax,1
29,A wonderful opportunity presented itself yesterday .,A wonderful opportunity,1
30,"Bill ate the peaches , but Harry the grapes .",Harry the grapes,0
31,"John has two sisters , who became lawyers .","two sisters , who became lawyers",1
32,Mary dates exactly two of the men who know a producer I like .,exactly two of the men who know a producer I like,1
33,I am removing the shovel from the shed .,the shovel,1
34,John suddenly put off the customers .,the customers,1
35,He has books by several Greek authors .,books by several Greek authors,1
36,We consider the men all totally crazy .,the men,1
37,Mary talked to any actual student .,any actual student,0
38,I broke twigs off those branches .,those branches,1
39,No doubt that he was forced to leave his family against his will .,his family,1
