,sentence1,cross1,source1_np0,target1_np0,sentence2,cross2,source2_np0,target2_np0,label
0,Scientists had observed that mice with a defective Klotho gene aged prematurely and wondered if an enhanced gene would have an opposite effect .,Scientists had observed that Klotho 유전자에 결함이 있는 쥐 aged prematurely and wondered if an enhanced gene would have an opposite effect .,mice with a defective Klotho gene,Klotho 유전자에 결함이 있는 쥐,Scientists have discovered a gene that produces a hormone that raises the life expectancy in mice by 30 percent .,Scientists have discovered 생쥐의 수명을 30% 연장시키는 호르몬을 생산하는 유전자 .,a gene that produces a hormone that raises the life expectancy in mice by 30 percent,생쥐의 수명을 30% 연장시키는 호르몬을 생산하는 유전자,1
1,"Boris Becker is a true legend in the sport of tennis . Aged just seventeen , he won Wimbledon for the first time and went on to become the most prolific tennis player .","보리스 베커 is a true legend in the sport of tennis . Aged just seventeen , he won Wimbledon for the first time and went on to become the most prolific tennis player .",Boris Becker,보리스 베커,Boris Becker is a Wimbledon champion .,보리스 베커 is a Wimbledon champion .,Boris Becker,보리스 베커,0
2,"The biopic of wannabe actor , Johnny Stompanato , may be directed by Adrian Lyne of "" Fatal Attraction "" and "" Indecent Proposal "" fame .","배우 지망생 조니 스톰파나토의 일대기 may be directed by Adrian Lyne of "" Fatal Attraction "" and "" Indecent Proposal "" fame .","The biopic of wannabe actor , Johnny Stompanato ,",배우 지망생 조니 스톰파나토의 일대기,"Adrian Lyne is the director of "" Indecent Proposal "" .","애드리안 라인 is the director of "" Indecent Proposal "" .",Adrian Lyne,애드리안 라인,0
3,"Sources in Tegucigalpa reported that many Latin American countries are gearing up to face Hurricane "" Mitch "" .","테구시갈파의 출처 reported that many Latin American countries are gearing up to face Hurricane "" Mitch "" .",Sources in Tegucigalpa,테구시갈파의 출처,"South American countries are preparing for "" Mitch ""","남미 국가 are preparing for "" Mitch """,South American countries,남미 국가,0
4,The kidnappers want the Kuwaiti firm that employs the men to stop doing business in Iraq and to pay compensation to the victims of U . S . strikes in Falluja .,납치범 want the Kuwaiti firm that employs the men to stop doing business in Iraq and to pay compensation to the victims of U . S . strikes in Falluja .,The kidnappers,납치범,The kidnappers paid compensation to the victims of the U . S .,납치범 paid compensation to the victims of the U . S .,The kidnappers,납치범,1
5,"The exchanges resulted in greatly improved financial , oil , fisheries , and military issues , but Great Britain consistently refused to address the issue of sovereignty over the Falklands .","교환 resulted in greatly improved financial , oil , fisheries , and military issues , but Great Britain consistently refused to address the issue of sovereignty over the Falklands .",The exchanges,교환,Great Britain continues to refuse to discuss sovereignty issues .,대 브리튼 섬 continues to refuse to discuss sovereignty issues .,Great Britain,대 브리튼 섬,0
6,"The Tuesday drawing of the Italian Superenalotto game has awarded the biggest prize ever won in a betting game in Italy . The single winner of the first category prize ( 6 numbers guessed ) will receive an amount , including the jackpot from previous un - won draws , of € 72 . 090 . 405 , 19 ( US $ 93 million . ) The prize money will be received in full without further taxation , since taxes in prizes of that type are taken at a fixed rate by the Italian State from the money paid for the bet .","이탈리아 Superenalotto 게임의 화요일 그림 has awarded the biggest prize ever won in a betting game in Italy . The single winner of the first category prize ( 6 numbers guessed ) will receive an amount , including the jackpot from previous un - won draws , of € 72 . 090 . 405 , 19 ( US $ 93 million . ) The prize money will be received in full without further taxation , since taxes in prizes of that type are taken at a fixed rate by the Italian State from the money paid for the bet .",The Tuesday drawing of the Italian Superenalotto game,이탈리아 Superenalotto 게임의 화요일 그림,Superenalotto awarded a prize of more than 72 million euros .,Superenalotto awarded 7200만 유로 이상의 상금 .,a prize of more than 72 million euros,7200만 유로 이상의 상금,0
7,"Jerusalem was rebuilt and served as Israel ' s capital off and on under various foreign rulers until 70 AD , when Roman legions burned the city and expelled its Jewish inhabitants .","Jerusalem was rebuilt and served as 이스라엘의 수도 off and on under various foreign rulers until 70 AD , when Roman legions burned the city and expelled its Jewish inhabitants .",Israel ' s capital,이스라엘의 수도,Israel has 70 Jewish inhabitants .,Israel has 70명의 유태인 주민 .,70 Jewish inhabitants,70명의 유태인 주민,1
8,The May 3 ferry sinking in the Meghna River that claimed the lives of at least 370 people is a reminder of the dangers inherent in this sort of travel .,최소 370명의 목숨을 앗아간 메그나 강에서 5월 3일 페리 침몰 is a reminder of the dangers inherent in this sort of travel .,The May 3 ferry sinking in the Meghna River that claimed the lives of at least 370 people,최소 370명의 목숨을 앗아간 메그나 강에서 5월 3일 페리 침몰,100 or more people lost their lives in a ferry sinking .,100명 이상 lost their lives in a ferry sinking .,100 or more people,100명 이상,0
9,"A rocket attack killed two Israelis , including a 3 - year - old boy .","로켓 공격 killed two Israelis , including a 3 - year - old boy .",A rocket attack,로켓 공격,A three - year - old was killed in a rocket attack .,세 살짜리 was killed in a rocket attack .,A three - year - old,세 살짜리,0
10,"Unfortunately , a visit from Mrs Hobday , causes Mr Browne to leave for London .","Unfortunately , Mrs Hobday의 방문 , causes Mr Browne to leave for London .",a visit from Mrs Hobday,Mrs Hobday의 방문,Mrs Hobday departs London .,홉데이 부인 departs London .,Mrs Hobday,홉데이 부인,1
11,Tom Cruise is married to actress Nicole Kidman and the couple has 2 adopted children .,톰 크루즈 is married to actress Nicole Kidman and the couple has 2 adopted children .,Tom Cruise,톰 크루즈,Tom Cruise is married to Nicole Kidman .,톰 크루즈 is married to Nicole Kidman .,Tom Cruise,톰 크루즈,0
