,sentence1,source1_np0,sentence2,source2_np0,label
0,"Last month , 62 Spanish peacekeepers died when their plane crashed in Turkey as they were returning home .",Last month,"In another disaster , 62 Spanish peacekeepers were killed May 26 when their plane crashed in Turkey on their way home .",62 Spanish peacekeepers,1
1,"It is priced at $ 5 , 995 for an unlimited number of users tapping into the single processor , or $ 195 per user with a minimum of five users .","$ 5 , 995 for an unlimited number of users tapping into the single processor , or $ 195 per user with a minimum of five users","It is priced at $ 5 , 995 or $ 195 on a per user licensing plan with a minimum of five users .","$ 5 , 995 or $ 195 on a per user licensing plan with a minimum of five users",0
2,""" Please , keep doing your homework , "" said Bavelier , the mother of three .","Bavelier , the mother of three",""" Please , keep doing your homework , "" said Bavelier , the mother of 6 - year - old twins and a 2 - year old .","Bavelier , the mother of 6 - year - old twins and a 2 - year old",1
3,The plan is to convert half of its eight million local phone lines within the next six years .,The plan,Sprint plans to move half of its 8 million local lines from hard - wired circuits to packet networks in the next six years .,half of its 8 million local lines,1
4,The Neighbours star and singer spent yesterday resting at her family home in Sydney and will have more tests today .,The Neighbours star and singer,Goodrem spent yesterday resting in her family home in Sydney and will have more tests today to determine her exact treatment .,more tests,0
5,Wells Fargo and Quicken Loans couldn ' t be reached for comment Wednesday afternoon .,Wells Fargo and Quicken Loans,"Wells Fargo was not available for comment , and a Quicken Loans spokeswoman declined immediate comment .",Wells Fargo,0
6,Staff writers Selwyn Crawford and Colleen McCain Nelson and Brian Anderson of DallasNews . com contributed to this report .,Staff writers Selwyn Crawford and Colleen McCain Nelson and Brian Anderson of DallasNews . com,Staff writers Brandon Formby and Colleen McCain Nelson contributed to this report .,Staff writers Brandon Formby and Colleen McCain Nelson,0
7,"During a period of nearly a decade , Telemarketing Associates raised more than $ 7 million .",Telemarketing Associates,"Telemarketing Associates , hired by VietNow , raised $ 7 . 1 million from 1987 to 1995 .","Telemarketing Associates , hired by VietNow ,",1
8,"At best , Davydenko ' s supporters were naively ignorant of tennis etiquette ; at worst , they cheated - yet went without penality from umpire Lars Graf .",Davydenko ' s supporters,"At best , Davydenko ' s supporters were naively ignorant to tennis etiquette ; at worst , they cheated – yet went unpenalised by umpire Lars Graf .",Davydenko ' s supporters,1
9,Revenue in the most - recent quarter rose 5 . 4 percent to $ 45 . 9 billion .,Revenue in the most - recent quarter,Revenue rose 5 . 4 percent to $ 45 . 9 billion from $ 43 . 6 billion a year ago .,$ 45 . 9 billion,0
10,"On Tuesday , the Nikkei Average dropped 107 . 08 points , or 1 . 3 percent , to close at 8 , 120 . 24 .",the Nikkei Average,"The Nikkei Average closed up 42 . 56 points , or half a percent , at 8 , 227 . 32 .",The Nikkei Average,0
11,"PeopleSoft will commit $ 863 million in cash and issue 52 . 6 million new shares , the companies said .",the companies,"The new deal would be valued at $ 1 . 75 billion , including $ 863 million in cash and 52 . 6 million PeopleSoft shares .",The new deal,0
12,"They said they also seized several items which might be linked to ritual killing , including an animal ' s skull with a nail driven through it .","several items which might be linked to ritual killing , including an animal ' s skull with a nail driven through it","Among the evidence seized by detectives was an animal skull with a nail driven through its head , which may have been used in a "" black magic "" ceremony .","an animal skull with a nail driven through its head , which may have been used in a "" black magic "" ceremony",1
13,"Tisha Kresler , a spokeswoman for Global Crossing , declined to comment .","Tisha Kresler , a spokeswoman for Global Crossing ,",A Global Crossing representative had no immediate comment .,A Global Crossing representative,1
14,"The nation , Bush said , "" will not stand by and wait for another attack , or trust in the restraint and good intentions of evil men . """,The nation,"The United States ` ` will not stand by and wait for another attack , or trust in the restraint and good intentions of evil men , ' ' he declared .",The United States,1
15,North American markets finished mixed in directionless trading Monday as earnings season begins to slow and economic indicators move into the spotlight .,North American markets,"North American markets grabbed early gains Monday morning , as earnings season begins to slow and economic indicators take the spotlight .",North American markets,0
16,""" Everything is going to move everywhere , "" Doug Feith , undersecretary of defence for policy , said in an interview .","Doug Feith , undersecretary of defence for policy ,",""" Everything is going to move everywhere , "" Douglas J . Feith , undersecretary of defence force policy , is quoted as saying .","Douglas J . Feith , undersecretary of defence force policy ,",1
17,"First , it ' s found in most versions of Windows , including the new Windows Server 2003 .","most versions of Windows , including the new Windows Server 2003","It is the first "" critical "" flaw discovered and fixed in the new Windows Server 2003 .","the first "" critical "" flaw discovered and fixed in the new Windows Server 2003",0
