,sentence,source_np0,label
0,"if you answered yes , by all means enjoy the new guy .",all means,1
1,one of the smartest takes on singles culture i ' ve seen in a long time .,singles culture,1
2,is an unpleasantly shallow and immature character with whom to spend 110 claustrophobic minutes,an unpleasantly shallow and immature character with whom to spend 110 claustrophobic minutes,0
3,"dark and unrepentant , this excursion into the epicenter of percolating mental instability is not easily dismissed or forgotten .",this excursion into the epicenter of percolating mental instability,1
4,like an extended dialogue exercise in retard 101,an extended dialogue exercise in retard 101,0
5,some outrageously creative action in the transporter . . .,some outrageously creative action,1
6,a painfully funny ode to bad behavior .,a painfully funny ode,1
7,because the movie is ugly to look at and not a hollywood product,the movie,0
8,that wind - in - the - hair exhilarating,that wind,1
9,of the credit for the film ' s winning tone,the credit for the film ' s winning tone,1
10,"though it ' s not very well shot or composed or edited , the score is too insistent and",the score,0
11,that screams out ` amateur ' in almost every frame,almost every frame,0
12,is by far the worst movie of the year .,the worst movie of the year,0
13,the son ' s room is a triumph of gentility that earns its moments of pathos .,the son ' s room,1
14,the light comedic work of zhao benshan and the delicate ways of dong jie,the light comedic work of zhao benshan,1
15,cremaster 3 is at once a tough pill to swallow and a minor miracle of self - expression .,a tough pill to swallow and a minor miracle of self - expression,1
16,i suspect that you ' ll be as bored watching morvern callar as the characters are in it .,morvern callar,0
17,"the characters are based on stock clichés ,",the characters,0
18,"arrives at its heart , as simple self - reflection meditation .",its heart,1
19,told well by a master storyteller,a master storyteller,1
20,how so many talented people were convinced to waste their time,so many talented people,0
21,"( the kid ' s ) just too bratty for sympathy , and as the film grows to its finale , his little changes ring hollow",the kid ' s,0
22,almost guaranteed that even the stuffiest cinema goers will laugh their * * * off for an hour - and - a - half,even the stuffiest cinema goers,1
23,more sophisticated and literate than such pictures usually are,such pictures,1
24,is a nonstop hoot,a nonstop hoot,1
25,"have the necessary self - control to guide a loose , poorly structured film through the pitfalls of incoherence and redundancy","the necessary self - control to guide a loose , poorly structured film through the pitfalls of incoherence and redundancy",0
26,is little else to recommend ` ` never again,little else,0
27,a résumé loaded with credits like ` ` girl in bar # 3,credits like ` ` girl in bar # 3,0
28,for putting together any movies of particular value or merit,any movies of particular value or merit,1
29,seems suited neither to kids or adults .,kids or adults,0
30,"the filmmakers know how to please the eye , but it is not always the prettiest pictures that tell the best story",the filmmakers,1
31,"though writer / director bart freundlich ' s film ultimately becomes a simplistic story about a dysfunctional parent - child relationship , it has some special qualities and the soulful gravity of crudup ' s anchoring performance .",writer / director bart freundlich ' s film,1
32,with a teeth - clenching gusto,a teeth - clenching gusto,1
33,conrad l . hall ' s cinematography will likely be nominated for an oscar next year - -,conrad l . hall ' s cinematography,1
34,"assume he had a bad run in the market or a costly divorce , because there is no earthly reason other than money why this distinguished actor would stoop so low",a bad run in the market or a costly divorce,0
35,"even in the summertime , the most restless young audience deserves the dignity of an action hero motivated by something more than franchise possibilities .",the most restless young audience,0
36,"exploring the idea of why human beings long for what they do n ' t have , and how this gets us in trouble",the idea of why human beings long for what they do n ' t have,1
37,i know better than to rush to the theater for this one,the theater,0
38,"such a lousy way , complete with some of the year ' s ( unintentionally ) funniest moments , that it ' s impossible to care",such a lousy way,0
39,no cliche escapes the perfervid treatment of gang warfare,no cliche,0
40,be said that he is an imaginative filmmaker who can see the forest for the trees,an imaginative filmmaker who can see the forest for the trees,1
41,to escape from director mark romanek ' s self - conscious scrutiny,conscious scrutiny,0
42,world cinema ' s most wondrously gifted artists,world cinema ' s,1
43,is one of the rare directors who feels acting is the heart and soul of cinema .,one of the rare directors who feels acting is the heart and soul of cinema,1
44,is a fun and funky look into an artificial creation in a world that thrives on artificiality .,a fun and funky look into an artificial creation in a world that thrives on artificiality,1
45,is talented enough and charismatic enough to make us care about zelda ' s ultimate fate .,zelda ' s ultimate fate,1
46,the lousy john q all but spits out denzel washington ' s fine performance in the title role .,the lousy john,0
47,drown a viewer in boredom than to send any shivers down his spine,any shivers,0
48,the scruffy sands of its titular community,the scruffy sands,0
49,"hugely entertaining from start to finish , featuring a fall from grace that still leaves shockwaves , it will gratify anyone who has ever suspected hollywood of being overrun by corrupt and hedonistic weasels .",a fall from grace that still leaves shockwaves,1
50,an elegant film with often surprising twists and an intermingling of naiveté and sophistication,an elegant film,1
51,is clearly a good thing,a good thing,1
52,"though few will argue that it ranks with the best of herzog ' s works , invincible shows he ' s back in form , with an astoundingly rich film .",an astoundingly rich film,1
53,"makes a great impression as the writer - director of this little $ 1 . 8 million charmer , which may not be cutting - edge indie filmmaking but has a huge heart .","a great impression as the writer - director of this little $ 1 . 8 million charmer , which may not be cutting - edge indie filmmaking but has a huge heart",1
54,make a pretty good team,a pretty good team,1
55,"the proficient , dull sorvino has no light touch , and","the proficient , dull sorvino",0
56,astonishing . . . ( frames ) profound ethical and philosophical questions in the form of dazzling pop entertainment .,profound ethical and philosophical questions,1
57,the most important and exhilarating forms of animated filmmaking since old walt,the most important and exhilarating forms of animated filmmaking,1
58,"terrific performances , great to look at , and funny",terrific performances,1
59,davis . . . is so enamored of her own creation that she ca n ' t see how insufferable the character is .,davis . . .,0
60,that ' s so mechanical you can smell the grease on the plot,the grease on the plot,0
61,been deemed important enough to make a film in which someone has to be hired to portray richard dawson,a film in which someone has to be hired to portray richard dawson,1
62,a tiny sense of hope,a tiny sense,1
63,you wo n ' t feel like it ' s wasted yours,it ' s,1
