,sentence1,cross1,source1_np0,target1_np0,sentence2,cross2,source2_np0,target2_np0,label
0,"Excluding one - time items , the company enjoyed a profit of 6 cents a share .","Excluding one - time items , 그 회사 enjoyed a profit of 6 cents a share .",the company,그 회사,"Excluding one - time items , it expects profit of 11 cents to 15 cents a share .","Excluding 일회성 항목 , it expects profit of 11 cents to 15 cents a share .",one - time items,일회성 항목,2.3329999446868896
1,A man is doing push - ups .,한 남자 is doing push - ups .,A man,한 남자,A woman is cutting some octopus .,여자 is cutting some octopus .,A woman,여자,0.0
2,"Isaac drenches Haiti , heads toward Cuba , Florida","Isaac drenches Haiti , heads toward 쿠바, 플로리다","Cuba , Florida","쿠바, 플로리다",Isaac nears Haiti with homeless quake population,Isaac nears Haiti with 노숙자 지진 인구,homeless quake population,노숙자 지진 인구,2.400000095367432
3,"According to reports , Knight allegedly punched a parking attendant outside a Los Angeles nightclub .","According to reports , Knight allegedly punched 주차요원 outside a Los Angeles nightclub .",a parking attendant,주차요원,He was arrested last week for allegedly punching a parking attendant outside a nightclub in LA .,He was arrested 지난주 for allegedly punching a parking attendant outside a nightclub in LA .,last week,지난주,3.25
4,A young girl is sitting on Santa ' s lap .,어린 소녀 is sitting on Santa ' s lap .,A young girl,어린 소녀,A little girl is sitting on Santa ' s lap,작은 소녀 is sitting on Santa ' s lap,A little girl,작은 소녀,4.800000190734863
5,""" Whatever has happened to you by way of punishment is certainly more than enough , "" Covello told the 49 - year - old , whose family , friends and supporters filled half the courtroom .",""" Whatever has happened to you by way of punishment is certainly more than enough , "" Covello told 49세의 그의 가족, 친구, 지지자들이 법정의 절반을 채웠습니다 .","the 49 - year - old , whose family , friends and supporters filled half the courtroom","49세의 그의 가족, 친구, 지지자들이 법정의 절반을 채웠습니다",""" What has happened to you , sir , by way of punishment , is certainly more than enough , "" Covello said .",""" What has happened to you , sir , by 형벌의 방법 , is certainly more than enough , "" Covello said .",way of punishment,형벌의 방법,3.0
6,South Africa police shot dead 30 miners,남아프리카 경찰 shot dead 30 miners,South Africa police,남아프리카 경찰,South Africa police say they killed 30 + miners,남아프리카 경찰 say they killed 30 + miners,South Africa police,남아프리카 경찰,4.199999809265137
7,Umm the California was a cargo ship I do nt care what the article says .,음 더 캘리포니아 was a cargo ship I do nt care what the article says .,Umm the California,음 더 캘리포니아,The California was a cargo ship .,캘리포니아 was a cargo ship .,The California,캘리포니아,4.0
8,"The 30 - year bond US30 YT = RR grew 1 - 3 / 32 for a yield of 4 . 30 percent , down from 4 . 35 percent late Wednesday .","30년 만기 채권 US30 YT = RR grew 1 - 3 / 32 for a yield of 4 . 30 percent , down from 4 . 35 percent late Wednesday .",The 30 - year bond US30 YT = RR,30년 만기 채권 US30 YT = RR,"At 11 a . m . ( 1500 GMT ) , the 10 - year note US10 YT = RR was up 11 / 32 for a yield of 3 . 36 percent from 3 . 40 percent Wednesday .","At 11 a . m . ( 1500 GMT ) , 10년 지폐 US10 YT = RR was up 11 / 32 for a yield of 3 . 36 percent from 3 . 40 percent Wednesday .",the 10 - year note US10 YT = RR,10년 지폐 US10 YT = RR,2.0
9,A man stands in front of a train .,한 남자 stands in front of a train .,A man,한 남자,A man stands on a platform in front of a silver train .,한 남자 stands on a platform in front of a silver train .,A man,한 남자,3.799999952316284
10,Wave of attacks kills at least 95 in Iraq,공격의 물결 kills at least 95 in Iraq,Wave of attacks,공격의 물결,Suicide attack kills at least 12 in northern Iraq,자살 공격 kills at least 12 in northern Iraq,Suicide attack,자살 공격,1.7999999523162842
11,"In an E - mail statement to the Knoxville News Sentinel , Shumaker said , ' ' I am not giving any consideration to resignation .","In Knoxville News Sentinel에 이메일 성명서 , Shumaker said , ' ' I am not giving any consideration to resignation .",an E - mail statement to the Knoxville News Sentinel,Knoxville News Sentinel에 이메일 성명서,"I am not giving any consideration to resignation , "" Shumaker said in a statement .","I am not giving 어떤 고려 사항 to resignation , "" Shumaker said in a statement .",any consideration,어떤 고려 사항,4.0
12,Police fire tear gas at protesters in Bangkok,Police fire 최루 가스 at protesters in Bangkok,tear gas,최루 가스,Police fire tear gas at protesters,Police fire 최루 가스 at protesters,tear gas,최루 가스,3.0
13,A dog is opening a fridge .,개 is opening a fridge .,A dog,개,A dog closes a refrigerator door .,개 closes a refrigerator door .,A dog,개,1.75
