,sentence1,source1_np0,sentence2,source2_np0,label
0,Scientists had observed that mice with a defective Klotho gene aged prematurely and wondered if an enhanced gene would have an opposite effect .,mice with a defective Klotho gene,Scientists have discovered a gene that produces a hormone that raises the life expectancy in mice by 30 percent .,a gene that produces a hormone that raises the life expectancy in mice by 30 percent,1
1,"Boris Becker is a true legend in the sport of tennis . Aged just seventeen , he won Wimbledon for the first time and went on to become the most prolific tennis player .",Boris Becker,Boris Becker is a Wimbledon champion .,Boris Becker,0
2,"The biopic of wannabe actor , Johnny Stompanato , may be directed by Adrian Lyne of "" Fatal Attraction "" and "" Indecent Proposal "" fame .","The biopic of wannabe actor , Johnny Stompanato ,","Adrian Lyne is the director of "" Indecent Proposal "" .",Adrian Lyne,0
3,"Sources in Tegucigalpa reported that many Latin American countries are gearing up to face Hurricane "" Mitch "" .",Sources in Tegucigalpa,"South American countries are preparing for "" Mitch """,South American countries,0
4,The kidnappers want the Kuwaiti firm that employs the men to stop doing business in Iraq and to pay compensation to the victims of U . S . strikes in Falluja .,The kidnappers,The kidnappers paid compensation to the victims of the U . S .,The kidnappers,1
5,"The exchanges resulted in greatly improved financial , oil , fisheries , and military issues , but Great Britain consistently refused to address the issue of sovereignty over the Falklands .",The exchanges,Great Britain continues to refuse to discuss sovereignty issues .,Great Britain,0
6,"The Tuesday drawing of the Italian Superenalotto game has awarded the biggest prize ever won in a betting game in Italy . The single winner of the first category prize ( 6 numbers guessed ) will receive an amount , including the jackpot from previous un - won draws , of € 72 . 090 . 405 , 19 ( US $ 93 million . ) The prize money will be received in full without further taxation , since taxes in prizes of that type are taken at a fixed rate by the Italian State from the money paid for the bet .",The Tuesday drawing of the Italian Superenalotto game,Superenalotto awarded a prize of more than 72 million euros .,a prize of more than 72 million euros,0
7,"Jerusalem was rebuilt and served as Israel ' s capital off and on under various foreign rulers until 70 AD , when Roman legions burned the city and expelled its Jewish inhabitants .",Israel ' s capital,Israel has 70 Jewish inhabitants .,70 Jewish inhabitants,1
8,The May 3 ferry sinking in the Meghna River that claimed the lives of at least 370 people is a reminder of the dangers inherent in this sort of travel .,The May 3 ferry sinking in the Meghna River that claimed the lives of at least 370 people,100 or more people lost their lives in a ferry sinking .,100 or more people,0
9,"A rocket attack killed two Israelis , including a 3 - year - old boy .",A rocket attack,A three - year - old was killed in a rocket attack .,A three - year - old,0
10,"Unfortunately , a visit from Mrs Hobday , causes Mr Browne to leave for London .",a visit from Mrs Hobday,Mrs Hobday departs London .,Mrs Hobday,1
11,Tom Cruise is married to actress Nicole Kidman and the couple has 2 adopted children .,Tom Cruise,Tom Cruise is married to Nicole Kidman .,Tom Cruise,0
12,"PST Chittagong , Bangladesh - - Muhammad Yunus , Bangladesh ' s "" Banker to the Poor "" who provides loans to help millions of people fight poverty by starting businesses , has won the Nobel Peace Prize .",Muhammad Yunus,Muhammad Yunus won the Nobel Prize for Peace .,Muhammad Yunus,0
13,"Since the island also lacks wells , water has to be obtained from rain carefully collected in concrete cisterns .",the island,The island gets water from collected rain .,The island,0
14,""" We ' ve never had a core ( business ) thing , "" founder Richard Branson told Reuters at the launch this month of Virgin Vodka , which , with Virgin cola and Virgin computers , are his latest bright ideas .",founder Richard Branson,Richard Branson ' s cola is called Virgin Cola .,Richard Branson ' s cola,0
