,sentence,cross,source_np0,target_np0,label
0,"if you answered yes , by all means enjoy the new guy .","if you answered yes , by 반드시 enjoy the new guy .",all means,반드시,1
1,one of the smartest takes on singles culture i ' ve seen in a long time .,one of the smartest takes on 싱글 문화 i ' ve seen in a long time .,singles culture,싱글 문화,1
2,is an unpleasantly shallow and immature character with whom to spend 110 claustrophobic minutes,is 110분의 밀실공포증을 함께 보내는 불쾌할 정도로 천박하고 미성숙한 캐릭터,an unpleasantly shallow and immature character with whom to spend 110 claustrophobic minutes,110분의 밀실공포증을 함께 보내는 불쾌할 정도로 천박하고 미성숙한 캐릭터,0
3,"dark and unrepentant , this excursion into the epicenter of percolating mental instability is not easily dismissed or forgotten .","dark and unrepentant , 침투하는 정신 불안정의 진원지로의 여행 is not easily dismissed or forgotten .",this excursion into the epicenter of percolating mental instability,침투하는 정신 불안정의 진원지로의 여행,1
4,like an extended dialogue exercise in retard 101,like 지연 101의 확장된 대화 연습,an extended dialogue exercise in retard 101,지연 101의 확장된 대화 연습,0
5,some outrageously creative action in the transporter . . .,터무니없이 창의적인 행동 in the transporter . . .,some outrageously creative action,터무니없이 창의적인 행동,1
6,a painfully funny ode to bad behavior .,고통스럽게 웃기는 송시 to bad behavior .,a painfully funny ode,고통스럽게 웃기는 송시,1
7,because the movie is ugly to look at and not a hollywood product,because 영화 is ugly to look at and not a hollywood product,the movie,영화,0
8,that wind - in - the - hair exhilarating,그 바람 - in - the - hair exhilarating,that wind,그 바람,1
9,of the credit for the film ' s winning tone,of 영화의 우승 톤에 대한 크레딧,the credit for the film ' s winning tone,영화의 우승 톤에 대한 크레딧,1
10,"though it ' s not very well shot or composed or edited , the score is too insistent and","though it ' s not very well shot or composed or edited , 점수 is too insistent and",the score,점수,0
11,that screams out ` amateur ' in almost every frame,that screams out ` amateur ' in 거의 모든 프레임,almost every frame,거의 모든 프레임,0
12,is by far the worst movie of the year .,is by far 올해 최악의 영화 .,the worst movie of the year,올해 최악의 영화,0
13,the son ' s room is a triumph of gentility that earns its moments of pathos .,아들의 방 is a triumph of gentility that earns its moments of pathos .,the son ' s room,아들의 방,1
