,sentence1,cross1,source1_np0,target1_np0,sentence2,cross2,source2_np0,target2_np0,label
0,What was an imported food that provided most of the carbohydrates ?,What was 대부분의 탄수화물을 제공하는 수입 식품 ?,an imported food that provided most of the carbohydrates,대부분의 탄수화물을 제공하는 수입 식품,Bananas arrived in the region and added an important source of carbohydrates to the diet ; they were also used in the production of alcoholic beverages . [ when ? ],Bananas arrived in the region and added 중요한 소스 of carbohydrates to the diet ; they were also used in the production of alcoholic beverages . [ when ? ],an important source,중요한 소스,0
1,What ' s the medical term for TB when it spreads from the lungs to other parts of the body ?,What ' s 결핵의 의학 용어 when it spreads from the lungs to other parts of the body ?,the medical term for TB,결핵의 의학 용어,"In 15 – 20 % of active cases , the infection spreads outside the lungs , causing other kinds of TB .","In 15 – 20 % of active cases , 감염 spreads outside the lungs , causing other kinds of TB .",the infection,감염,1
2,Paraffin wax is an example of what kind of storage media ?,파라핀 왁스 is an example of what kind of storage media ?,Paraffin wax,파라핀 왁스,Phase change materials such as paraffin wax and Glauber ' s salt are another thermal storage media .,"파라핀 왁스, Glauber 소금 등의 상변화 물질 are another thermal storage media .",Phase change materials such as paraffin wax and Glauber ' s salt,"파라핀 왁스, Glauber 소금 등의 상변화 물질",0
3,In what century did Hyderabad style painting develop ?,In what century did 하이데라바드 스타일 그림 develop ?,Hyderabad style painting,하이데라바드 스타일 그림,The Hyderabad style originated in the 17 th century under the Nizams .,하이데라바드 스타일 originated in the 17 th century under the Nizams .,The Hyderabad style,하이데라바드 스타일,0
4,Which religion is cited as having problems with modern biblical criticism ?,Which religion is cited as having 현대 성경비평의 문제점 ?,problems with modern biblical criticism,현대 성경비평의 문제점,Issues in the Protestant churches have included modern biblical criticism and the nature of God .,개신교 교회의 문제점 have included modern biblical criticism and the nature of God .,Issues in the Protestant churches,개신교 교회의 문제점,0
5,Who took Urban ' s spot at the New York auditions ?,Who took 도시의 명소 at the New York auditions ?,Urban ' s spot,도시의 명소,Eighth season runner - up Adam Lambert filled in for Urban during the New York City auditions .,8번째 시즌 주자 - up Adam Lambert filled in for Urban during the New York City auditions .,Eighth season runner,8번째 시즌 주자,0
6,What is a notable architectural feature of the basilica ?,What is 대성당의 주목할만한 건축 적 특징 ?,a notable architectural feature of the basilica,대성당의 주목할만한 건축 적 특징,"Other new features of religious architecture include the crossing tower and a monumental entrance to the church , usually at the west end of the building .","종교 건축의 다른 새로운 특징 include the crossing tower and a monumental entrance to the church , usually at the west end of the building .",Other new features of religious architecture,종교 건축의 다른 새로운 특징,1
7,What does the tree live on ?,What does 나무 live on ?,the tree,나무,"and , in the past , by the American chestnut ( Castanea dentata ) .","and , in 과거 , by the American chestnut ( Castanea dentata ) .",the past,과거,1
8,What condition was Napoleon ' s body in when it was moved in 1840 ?,What condition was 나폴레옹의 시체 in when it was moved in 1840 ?,Napoleon ' s body,나폴레옹의 시체,"His description of Napoleon in the months before his death led Sten Forshufvud in a 1961 paper in Nature to put forward other causes for his death , including deliberate arsenic poisoning .","나폴레옹이 죽기 몇 달 전의 묘사 led Sten Forshufvud in a 1961 paper in Nature to put forward other causes for his death , including deliberate arsenic poisoning .",His description of Napoleon in the months before his death,나폴레옹이 죽기 몇 달 전의 묘사,1
9,What language can be found used in Kosovo and Albania ?,What language can be found used in 코소보와 알바니아 ?,Kosovo and Albania,코소보와 알바니아,"Albanian is spoken in Albania , Kosovo , Macedoonia , and parts of Greece .","Albanian is spoken in 알바니아, 코소보, 마케도니아 및 그리스 일부 .","Albania , Kosovo , Macedoonia , and parts of Greece","알바니아, 코소보, 마케도니아 및 그리스 일부",0
