,sentence1,source1_np0,sentence2,source2_np0,label
0,"Excluding one - time items , the company enjoyed a profit of 6 cents a share .",the company,"Excluding one - time items , it expects profit of 11 cents to 15 cents a share .",one - time items,2.3329999446868896
1,A man is doing push - ups .,A man,A woman is cutting some octopus .,A woman,0.0
2,"Isaac drenches Haiti , heads toward Cuba , Florida","Cuba , Florida",Isaac nears Haiti with homeless quake population,homeless quake population,2.400000095367432
3,"According to reports , Knight allegedly punched a parking attendant outside a Los Angeles nightclub .",a parking attendant,He was arrested last week for allegedly punching a parking attendant outside a nightclub in LA .,last week,3.25
4,A young girl is sitting on Santa ' s lap .,A young girl,A little girl is sitting on Santa ' s lap,A little girl,4.800000190734863
5,""" Whatever has happened to you by way of punishment is certainly more than enough , "" Covello told the 49 - year - old , whose family , friends and supporters filled half the courtroom .","the 49 - year - old , whose family , friends and supporters filled half the courtroom",""" What has happened to you , sir , by way of punishment , is certainly more than enough , "" Covello said .",way of punishment,3.0
6,South Africa police shot dead 30 miners,South Africa police,South Africa police say they killed 30 + miners,South Africa police,4.199999809265137
7,Umm the California was a cargo ship I do nt care what the article says .,Umm the California,The California was a cargo ship .,The California,4.0
8,"The 30 - year bond US30 YT = RR grew 1 - 3 / 32 for a yield of 4 . 30 percent , down from 4 . 35 percent late Wednesday .",The 30 - year bond US30 YT = RR,"At 11 a . m . ( 1500 GMT ) , the 10 - year note US10 YT = RR was up 11 / 32 for a yield of 3 . 36 percent from 3 . 40 percent Wednesday .",the 10 - year note US10 YT = RR,2.0
9,A man stands in front of a train .,A man,A man stands on a platform in front of a silver train .,A man,3.799999952316284
10,Wave of attacks kills at least 95 in Iraq,Wave of attacks,Suicide attack kills at least 12 in northern Iraq,Suicide attack,1.7999999523162842
11,"In an E - mail statement to the Knoxville News Sentinel , Shumaker said , ' ' I am not giving any consideration to resignation .",an E - mail statement to the Knoxville News Sentinel,"I am not giving any consideration to resignation , "" Shumaker said in a statement .",any consideration,4.0
12,Police fire tear gas at protesters in Bangkok,tear gas,Police fire tear gas at protesters,tear gas,3.0
13,A dog is opening a fridge .,A dog,A dog closes a refrigerator door .,A dog,1.75
14,"In addition , it offered the United States and Israel a way to work around Mr . Arafat .",the United States and Israel,"When the prime minister ' s position was established in the spring , it offered the United States and Israel a way to work around Arafat .",the United States and Israel,3.5999999046325684
15,A white dog is playing with a ball on the beach .,A white dog,A black and white dog is playing with a tan dog .,A black and white dog,1.600000023841858
16,A man is fishing .,A man,A man is exercising .,A man,0.5
17,A cat reclines on an office chair .,A cat,A ginger cat sitting on an office chair .,A ginger cat,3.799999952316284
18,Swiss tourist gang - raped in India,Swiss tourist gang,Swiss tourist gang - raped in India,Swiss tourist gang,5.0
19,Assad warns Turkey of ' heavy price ' for backing Syrian rebels,' heavy price ',Cabinet at war over arming Syrian rebels,Syrian rebels,1.0
20,"Where long - lines used to catch 10 fish per 100 hooks in past decades , they are now lucky to catch one , the study found .",the study,""" Whereas long lines used to catch 10 fish per 100 hooks , now they are lucky to catch one , "" Myers said .",long lines,4.199999809265137
21,A woman standing in front of trees and smiling .,A woman,A man is walking by trees in front of the city skyline .,A man,2.0
22,The man is riding a motorcycle down the road .,The man,A man is riding a red motorcycle on the road .,A man,4.0
23,A federal grand jury indicted them on Tuesday ; the document was sealed until yesterday to allow authorities to make arrests .,A federal grand jury,Federal officials said the document remained sealed until Thursday morning to allow authorities to make arrests in five Western states .,Federal officials,3.400000095367432
24,"As I understand it , nothing that can be changed , or broken down into smaller parts is inherently real .","nothing that can be changed , or broken down into smaller parts",Our interactions are merely depends on where we put our perception .,Our interactions,0.4000000059604645
25,A man is playing a violin .,A man,A woman is using a sewing machine .,A woman,0.0
26,"Two women sitting on a bench , their faces obscured , with one woman carrying an inflatable tiger and the other woman in a Disney snow white costume .",Two women,A girl sits on a bench holding an inflatable tiger next to another girl in a colorful outfit .,A girl,2.200000047683716
27,a cyclist is making his bike jump between two rocks .,his bike,A man jumps his bicycle in the air between two rocks .,A man,4.400000095367432
28,House - Senate deal reached on payroll tax measure,Senate deal,Negotiators reach deal on Congress payroll tax cut bill,deal on Congress payroll tax cut bill,3.799999952316284
29,A boat with four sails is sailing on water .,A boat with four sails,Sail boat sailing on the water .,the water,3.5999999046325684
30,A woman is slipping in the water - tub .,A woman,A woman is lying in a raft .,A woman,0.800000011920929
31,Several black Democratic leaders were attempting to arrange a meeting with DNC chairman Terry McAuliffe to discuss the layoffs .,Several black Democratic leaders,Black Democratic leaders were trying to arrange a meeting with Democratic National Committee Chairman Terry McAuliffe to discuss the layoffs of 10 minority staffers at party headquarters .,Black Democratic leaders,3.25
32,Activists say they fear the gathering is an attempt by corporate farming to push bio - engineered crops on starving countries .,the gathering,"Instead , they fear the conference is an attempt by corporate farming and biotech interests to push into new markets .",the conference,3.0
33,A woman mixes a beauty treatment in a glass .,A woman,A woman is mixing a cream in a glass with a spoon .,A woman,3.5999999046325684
34,Li Na to announce retirement,Li Na,US Senator Ted Cruz to announce presidential bid,US Senator Ted Cruz,0.0
35,A man plays the guitar .,A man,A man is playing the guitar .,A man,5.0
36,Dozens injured as Boeing 777 jet crash lands at San Francisco airport,Boeing 777 jet crash,Asiana Air Boeing 777 crash lands at San Francisco airport,Asiana Air Boeing 777 crash,3.799999952316284
37,A group of people having a drink .,A group,A row of locomotives on a siding in a field .,A row of locomotives,0.0
38,Sri Lanka seek one - day revival against Pakistan,Sri Lanka,Senior journalist killed in Pakistan,Senior journalist,0.6000000238418579
39,6 . 1 - magnitude quake strikes Indonesia,6 . 1 - magnitude quake,"6 . 1 - magnitude quake hits Papua , Indonesia - - USGS",6 . 1 - magnitude quake,4.199999809265137
40,A person is slicing an onion .,A person,A cat is pooping into a toilet .,A cat,0.0
41,"When the bomb exploded at the Casa de España , customers were eating dinner and playing bingo .",the bomb,"At the Casa de Espaa , customers were eating dinner and playing bingo when a bomb went off .",the Casa de Espaa,5.0
42,A dog is chasing cows .,A dog,A white dog is chasing cows .,A white dog,4.0
43,A child is jumping into a swimming pool .,A child,A dog jumping into a swimming pool .,A dog,1.2000000476837158
44,"17 killed , 133 wounded in bomb attacks in northern Iraq",bomb attacks in northern Iraq,"15 killed , 90 wounded in fresh attacks in Iraq",fresh attacks in Iraq,2.799999952316284
45,Russian Air Force celebrates 100 th anniversary,Russian Air Force,Russian air force ' s 100 th anniversary,Russian air force ' s,4.400000095367432
46,Classic crossword - Saturday 1 st June,Classic crossword,Classic crossword - Saturday 20 th April,Classic crossword,1.600000023841858
47,A woman is slicing an onion .,A woman,A woman is cutting an onion .,A woman,4.199999809265137
48,A man with a messenger bag in front of a gray tile wall .,A man,Man in red jacket standing in front of lighthouse .,Man in red jacket,0.800000011920929
49,The effort is the Bush administration ' s latest effort to expand the role of religious organizations in government services .,The effort,July 10 - The Bush administration ' s latest effort to expand the role of religious organizations in government services enlists church - based youth groups in anti - drug programs .,The Bush administration ' s latest effort to expand the role of religious organizations in government services,3.25
50,""" If you pass this bill , Big Brother will be watching you , "" said Rep . John Mabry , D - Waco .","Rep . John Mabry , D - Waco",""" If you pass this bill , "" Rep . John Mabry Jr . , D - Waco , told colleagues , "" Big Brother will be watching you . """,Rep . John Mabry Jr .,4.800000190734863
51,Eye Opener : Supreme Court rules on Arizona immigration law,Eye Opener,U . S . Supreme Court issues split ruling on Arizona immigration law,U . S . Supreme Court issues,3.799999952316284
52,Man dies in Co Donegal house fire,Co Donegal house fire,Woman dies in Co Cork house fire,Co Cork house fire,2.200000047683716
53,I am not the one claiming the right to decide over another woman ' s body .,the one claiming the right to decide over another woman ' s body,You want others to decide over a woman body .,a woman body,2.799999952316284
54,There are two men near a wall .,two men near a wall,Three women are sitting near a wall .,Three women,2.0
55,Syria welcomes Iran ' s nuclear deal,Iran ' s nuclear deal,"Iran , six world powers clinch breakthrough nuclear deal","Iran , six world powers",3.0
56,Pro - Palestinian Activists March to UN Headquarters,UN Headquarters,Pro - Palestinian activists prepare flotilla to break Gaza blockade,Pro - Palestinian activists,2.0
57,Dozens dead in Taliban resort attack,Taliban resort attack,' India police name 3 Iranians in embassy attack ',India police,0.4000000059604645
