,sentence1,source1_np0,sentence2,source2_np0,label
0,What was an imported food that provided most of the carbohydrates ?,an imported food that provided most of the carbohydrates,Bananas arrived in the region and added an important source of carbohydrates to the diet ; they were also used in the production of alcoholic beverages . [ when ? ],an important source,0
1,What ' s the medical term for TB when it spreads from the lungs to other parts of the body ?,the medical term for TB,"In 15 – 20 % of active cases , the infection spreads outside the lungs , causing other kinds of TB .",the infection,1
2,Paraffin wax is an example of what kind of storage media ?,Paraffin wax,Phase change materials such as paraffin wax and Glauber ' s salt are another thermal storage media .,Phase change materials such as paraffin wax and Glauber ' s salt,0
3,In what century did Hyderabad style painting develop ?,Hyderabad style painting,The Hyderabad style originated in the 17 th century under the Nizams .,The Hyderabad style,0
4,Which religion is cited as having problems with modern biblical criticism ?,problems with modern biblical criticism,Issues in the Protestant churches have included modern biblical criticism and the nature of God .,Issues in the Protestant churches,0
5,Who took Urban ' s spot at the New York auditions ?,Urban ' s spot,Eighth season runner - up Adam Lambert filled in for Urban during the New York City auditions .,Eighth season runner,0
6,What is a notable architectural feature of the basilica ?,a notable architectural feature of the basilica,"Other new features of religious architecture include the crossing tower and a monumental entrance to the church , usually at the west end of the building .",Other new features of religious architecture,1
7,What does the tree live on ?,the tree,"and , in the past , by the American chestnut ( Castanea dentata ) .",the past,1
8,What condition was Napoleon ' s body in when it was moved in 1840 ?,Napoleon ' s body,"His description of Napoleon in the months before his death led Sten Forshufvud in a 1961 paper in Nature to put forward other causes for his death , including deliberate arsenic poisoning .",His description of Napoleon in the months before his death,1
9,What language can be found used in Kosovo and Albania ?,Kosovo and Albania,"Albanian is spoken in Albania , Kosovo , Macedoonia , and parts of Greece .","Albania , Kosovo , Macedoonia , and parts of Greece",0
10,Which states had the same stadtholder as Holland ?,the same stadtholder as Holland,"However , in practice the princes of Orange of the House of Orange - Nassau , beginning with William the Silent , were always chosen as stadtholders of most of the provinces .","the princes of Orange of the House of Orange - Nassau , beginning with William the Silent ,",1
11,"To what does "" channel "" refer in terms if adolescent communication ?",adolescent communication,"Channel , in this respect , refers to the form of communication , be it face - to - face , email , text message , phone or other .",this respect,0
12,The first transistorised computer was operational in what year ?,The first transistorised computer,"Their first transistorised computer and the first in the world , was operational by 1953 , and a second version was completed there in April 1955 .","Their first transistorised computer and the first in the world ,",0
13,What year did the Neuropsychopharmacology journal publist a study about the effect on the brain of beers flavor ?,the Neuropsychopharmacology journal,"A study published in the Neuropsychopharmacology journal in 2013 revealed the finding that the flavour of beer alone could provoke dopamine activity in the brain of the male participants , who wanted to drink more as a result .",A study published in the Neuropsychopharmacology journal in 2013,0
14,What did the NAS Bermuda offer once designated Annex ?,the NAS Bermuda offer,"It provided optional anchorage and / or dockage facilities for transiting US Navy , US Coast Guard and NATO vessels , depending on size .",optional anchorage and / or dockage facilities,0
15,What did Nasser want to use the agreement to do ?,the agreement,"Nasser had initially rejected the plan , but conceded under pressure from the Soviet Union , which feared that escalating regional conflict could drag it into a war with the US .",the plan,1
16,The early Queen logo resembled the coat of arms of what country ?,The early Queen logo,"The whole symbol bears a passing resemblance to the Royal coat of arms of the United Kingdom , particularly with the lion supporters .",The whole symbol,0
17,Ann Arbor has been linked with which university ?,Ann Arbor,"It was not until the early 1880 s that Ann Arbor again saw robust growth , with new immigrants coming from Greece , Italy , Russia , and Poland .",the early 1880 s,1
18,Many of John ' s mistresses were what ?,Many of John ' s mistresses,"It was common for kings and nobles of the period to keep mistresses , but chroniclers complained that John ' s mistresses were married noblewomen , which was considered unacceptable .",kings and nobles of the period,0
19,Which of Bell ' s students is the most well known ?,Bell ' s students,"She was later to say that Bell dedicated his life to the penetration of that "" inhuman silence which separates and estranges . """,his life,1
20,What Manhattan development is the product of land reclamation ?,Manhattan development,"The city ' s land has been altered substantially by human intervention , with considerable land reclamation along the waterfronts since Dutch colonial times ; reclamation is most prominent in Lower Manhattan , with developments such as Battery Park City in the 1970 s and 1980 s .",The city ' s land,0
21,What has increased tourism to Tibet in recent years ?,recent years,"In recent years , due to increased interest in Tibetan Buddhism , tourism has become an increasingly important sector , and is actively promoted by the authorities .",recent years,0
